Date,Time,Ticker,Expiry,Strike,Instrument,Quantity,Net_proceeds,Symbol,DateTime,Proceeds,Comm_fee
20241222,111246,TSLA,30DEC24,140,C,1,-198.6181,TSLA 30DEC24 140 C,"2024-12-22, 11:12:46",-198,-0.6181
20241222,114733,TSLA,30DEC24,140,C,1,-187.8381,TSLA 30DEC24 140 C,"2024-12-22, 11:47:33",-187,-0.8381
20241223,102302,SPY,23DEC24,385,C,3,-83.0345,SPY 24DEC24 385 C,"2024-12-23, 10:23:02",-81,-2.0345
20241223,104838,TSLA,30DEC24,140,C,-1,119.1569,TSLA 30DEC24 140 C,"2024-12-23, 10:48:38",120,-0.8431
20241223,105003,TSLA,30DEC24,140,C,-1,120.9569,TSLA 30DEC24 140 C,"2024-12-23, 10:50:03",122,-1.0431
20241223,105319,SPY,23DEC24,385,C,-1,13.4593,SPY 24DEC24 385 C,"2024-12-23, 10:53:19",15,-1.5407
20241223,105328,SPY,23DEC24,385,C,-1,12.9693,SPY 24DEC24 385 C,"2024-12-23, 10:53:28",14,-1.0307
20241223,123544,SPY,23DEC24,385,C,-1,15.9693,SPY 24DEC24 385 C,"2024-12-23, 12:35:44",17,-1.0307
20241223,135348,SPXW,23DEC24,3800,P,2,-132.3813,SPXW 24DEC24 3800 P,"2024-12-23, 13:53:48",-130,-2.3813
20241223,144002,SPXW,23DEC24,3800,P,-2,27.6187,SPXW 24DEC24 3800 P,"2024-12-23, 14:40:02",30,-2.3813
20241227,125534,SPXW,27DEC24,3850,C,1,-201.6306,SPXW 27DEC24 3850 C,"2024-12-27, 12:55:34",-200,-1.6306
20241227,134105,SPXW,27DEC24,3850,C,-1,128.3694,SPXW 27DEC24 3850 C,"2024-12-27, 13:41:05",130,-1.6306
20241228,085912,SPXW,28DEC24,3875,C,1,-136.6306,SPXW 28DEC24 3875 C,"2024-12-28, 08:59:12",-135,-1.6306
20241228,093526,SPXW,28DEC24,3875,C,-1,268.3694,SPXW 28DEC24 3875 C,"2024-12-28, 09:35:26",270,-1.6306
20241229,074400,SPXW,29DEC24,3840,C,1,-176.6306,SPXW 29DEC24 3840 C,"2024-12-29, 07:44:00",-175,-1.6306
20241229,075909,SPXW,29DEC24,3745,P,1,-201.6306,SPXW 29DEC24 3745 P,"2024-12-29, 07:59:09",-200,-1.6306
20241229,083840,SPXW,29DEC24,3745,P,-1,88.4593,SPXW 29DEC24 3745 P,"2024-12-29, 08:38:40",90,-1.5407
20241229,083919,SPXW,29DEC24,3840,C,-1,328.3694,SPXW 29DEC24 3840 C,"2024-12-29, 08:39:19",330,-1.6306
20241230,074626,SPXW,30DEC24,3780,P,1,-251.6306,SPXW 30DEC24 3780 P,"2024-12-30, 07:46:26",-250,-1.6306
20241230,084013,SPXW,30DEC24,3780,P,-1,358.3694,SPXW 30DEC24 3780 P,"2024-12-30, 08:40:13",360,-1.6306
20250103,025711,SPXW,03JAN25,3780,P,1,-81.5407,SPXW 03JAN25 3780 P,"2025-01-03, 02:57:11",-80,-1.5407
20250103,070637,SPXW,03JAN25,3780,P,-1,123.3694,SPXW 03JAN25 3780 P,"2025-01-03, 07:06:37",125,-1.6306
20250103,103459,SPXW,03JAN25,3890,C,2,-82.3813,SPXW 03JAN25 3890 C,"2025-01-03, 10:34:59",-80,-2.3813
20250103,110046,SPXW,03JAN25,3890,C,-1,53.4593,SPXW 03JAN25 3890 C,"2025-01-03, 11:00:46",55,-1.5407
20250103,111418,SPXW,03JAN25,3890,C,-1,13.4593,SPXW 03JAN25 3890 C,"2025-01-03, 11:14:18",15,-1.5407